x,y,z,e
f1000(u32),f1000(u32),f1000(u32),f1000(s64)
99.243,64.421,0.250,18.663
99.923,61.530,0.250,18.776
100.066,61.155,0.250,18.791
100.239,60.791,0.250,18.807
100.728,60.056,0.250,18.840
101.285,59.476,0.250,18.871
101.931,59.002,0.250,18.901
104.611,57.686,0.250,19.015
104.786,57.584,0.250,19.023
105.013,57.350,0.250,19.035
105.136,57.016,0.250,19.049
105.120,56.729,0.250,19.060
105.075,56.579,0.250,19.066
104.582,55.426,0.250,19.113
104.294,54.501,0.250,19.150
104.302,53.663,0.250,19.182
104.485,53.091,0.250,19.205
104.805,52.575,0.250,19.228
105.155,52.222,0.250,19.247
105.564,51.957,0.250,19.266
108.204,50.683,0.250,19.377
108.801,50.498,0.250,19.401
109.440,50.474,0.250,19.425
109.871,50.555,0.250,19.442
110.279,50.710,0.250,19.459
110.881,51.126,0.250,19.487
111.152,51.430,0.250,19.502
111.560,52.071,0.250,19.531
112.152,53.171,0.250,19.579
112.245,53.305,0.250,19.585
112.454,53.491,0.250,19.595
112.780,53.600,0.250,19.608
113.024,53.595,0.250,19.618
113.302,53.501,0.250,19.629
115.975,52.235,0.250,19.742
116.790,52.011,0.250,19.774
117.190,51.958,0.250,19.789
117.593,51.939,0.250,19.804
118.408,52.008,0.250,19.836
119.214,52.224,0.250,19.867
121.919,53.501,0.250,19.981
122.234,53.604,0.250,19.994
122.559,53.576,0.250,20.006
122.783,53.476,0.250,20.016
122.980,53.300,0.250,20.026
123.069,53.171,0.250,20.032
123.668,52.060,0.250,20.080
124.240,51.226,0.250,20.118
124.771,50.802,0.250,20.144
125.247,50.587,0.250,20.164
125.757,50.477,0.250,20.184
126.372,50.490,0.250,20.207
126.968,50.664,0.250,20.231
129.739,51.996,0.250,20.348
130.261,52.403,0.250,20.373
130.667,52.949,0.250,20.399
130.953,53.935,0.250,20.438
130.897,54.664,0.250,20.466
130.624,55.465,0.250,20.498
130.110,56.685,0.250,20.549
130.090,56.956,0.250,20.559
130.090,56.956,0.250,17.059
130.143,57.223,0.250,16.930
130.221,57.363,0.250,16.854
130.351,57.519,0.250,16.757
130.606,57.684,0.250,16.613
132.455,58.594,0.250,15.634
132.455,58.594,0.250,15.559
130.090,56.956,0.250,15.559
130.090,56.956,0.250,15.559
136.166,65.311,0.250,15.559
136.166,65.311,0.250,20.559
136.338,65.401,0.250,20.566
136.680,65.488,0.250,20.580
137.005,65.477,0.250,20.592
138.215,65.257,0.250,20.639
139.002,65.176,0.250,20.669
139.351,65.206,0.250,20.683
139.892,65.378,0.250,20.704
140.242,65.591,0.250,20.720
140.541,65.865,0.250,20.735
140.796,66.220,0.250,20.752
140.983,66.655,0.250,20.770
141.668,69.659,0.250,20.887
141.661,70.295,0.250,20.911
141.520,70.784,0.250,20.931
141.242,71.249,0.250,20.951
140.802,71.666,0.250,20.975
139.810,72.085,0.250,21.015
138.581,72.425,0.250,21.064
138.306,72.549,0.250,21.076
138.071,72.731,0.250,21.087
137.955,72.864,0.250,21.094
137.790,73.177,0.250,21.107
137.729,73.469,0.250,21.118
137.727,73.647,0.250,21.125
137.764,73.892,0.250,21.135
138.401,76.777,0.250,21.247
138.431,77.546,0.250,21.276
138.327,78.298,0.250,21.305
138.224,78.667,0.250,21.320
138.095,79.011,0.250,21.334
137.719,79.708,0.250,21.364
135.912,82.001,0.250,21.475
135.777,82.202,0.250,21.484
135.657,82.492,0.250,21.496
135.620,82.821,0.250,21.509
135.666,83.121,0.250,21.521
135.812,83.439,0.250,21.534
135.935,83.597,0.250,21.541
136.947,84.491,0.250,21.593
137.448,84.994,0.250,21.620
137.704,85.365,0.250,21.637
137.871,85.778,0.250,21.654
137.947,86.228,0.250,21.671
137.921,86.689,0.250,21.689
137.801,87.115,0.250,21.706
137.579,87.527,0.250,21.724
135.656,89.938,0.250,21.841
134.991,90.413,0.250,21.872
134.527,90.558,0.250,21.891
134.067,90.593,0.250,21.908
133.390,90.453,0.250,21.935
132.564,89.970,0.250,21.971
131.571,89.247,0.250,22.018
131.285,89.100,0.250,22.030
130.937,89.030,0.250,22.044
130.575,89.071,0.250,22.058
130.402,89.134,0.250,22.065
130.204,89.247,0.250,22.073
130.016,89.407,0.250,22.083
128.045,91.831,0.250,22.202
127.476,92.321,0.250,22.230
126.822,92.709,0.250,22.259
126.469,92.859,0.250,22.274
126.120,92.973,0.250,22.288
125.339,93.114,0.250,22.318
122.420,93.131,0.250,22.429
122.174,93.150,0.250,22.438
122.010,93.190,0.250,22.445
121.723,93.321,0.250,22.457
121.462,93.546,0.250,22.470
121.344,93.708,0.250,22.478
121.207,94.038,0.250,22.491
121.172,94.257,0.250,22.500
121.117,95.506,0.250,22.547
121.052,96.104,0.250,22.570
120.916,96.607,0.250,22.590
120.657,97.060,0.250,22.610
120.329,97.404,0.250,22.628
119.897,97.681,0.250,22.648
119.425,97.842,0.250,22.667
119.038,97.881,0.250,22.681
116.083,97.880,0.250,22.794
115.659,97.807,0.250,22.810
115.212,97.624,0.250,22.829
114.846,97.365,0.250,22.846
114.558,97.053,0.250,22.862
114.281,96.549,0.250,22.884
114.183,96.197,0.250,22.898
114.104,95.515,0.250,22.924
114.048,94.257,0.250,22.972
114.017,94.058,0.250,22.980
113.909,93.769,0.250,22.991
113.827,93.635,0.250,22.997
113.629,93.422,0.250,23.008
113.388,93.260,0.250,23.019
113.227,93.194,0.250,23.026
113.047,93.150,0.250,23.033
112.800,93.131,0.250,23.042
109.849,93.111,0.250,23.155
109.102,92.973,0.250,23.184
108.739,92.854,0.250,23.198
108.401,92.710,0.250,23.212
107.743,92.320,0.250,23.241
107.139,91.793,0.250,23.272
